podróży służbowych,osób chorych na COVID,lekarzy,lekarzy i pielęgniarek,osób niechorujących na COVID,urzędników,osób regularnie podróżujących koleją,imigrantów,obywateli Unii Europejskiej, Stanów Zjednoczonych, Kanady oraz państw Brytyjskiej Wspólnoty Narodów,chrześcijan,rolników,osób, które w latach 1980-1996 otrzymały transfuzję krwi w Wielkiej Brytanii,mitomanów,feministek,Liturgicznej Służby Ołtarza,zawodowych klaunów,mimów,rzemieślników,kanalarzy,kierowców autobusów,paralityków,epileptyków,patriotów,dziennikarzy,
nurków,decydentów,polityków,przedstawicieli proletariatu,programistów,skoczków narciarskich,dróżników,konduktorów,pracowników Agencji Restrukturyzacji i Modernizacji Rolnictwa,niechrześcijan,osób ubezpieczonych w ZUS,narkomanów,kleptomanów,członków Greenpeace,Wojsk Obrony Terytorialnej,kierowców rajdowych,artystów,listonoszy,motorniczych,osób niezdolnych do samodzielnej egzystencji,osób, które nie zgadzają się z rozporządzeniem,biedoty,dawców krwi,nauczycieli akademickich,
piekarzy,murarzy,osób z wykształceniem wyższym,wędrownych kuglarzy,bezdomnych,bezrobotnych,Jana Borysewicza (pod warunkiem, że jest trzeźwy),Borysa Szyca,pracowników elektrowni w Ostrołęce,pracowników sanepidu,,,,,,,,,,,,,,,
warsztaty wulkanizacji opon,baseny głębinowe,warsztaty stolarskie,warsztaty włókiennicze,magazyny ,miejsca spotkań większości narodowych,,,,,,,,,,,,,,,,,,,
baseny przydomowe,sklepy wielkopowierzchniowe,sklepy średniopowierzchniowe,centra wystawiennicze,lądowiska dronów,,,,,,,,,,,,,,,,,,,,
cukiernie,bazarki,zakłady pogrzebowe,krawcowe,pasmanterie,drogerie,sklepy spożywcze,szkoły językowe,urzędy,,,,,,,,,,,,,,,,
piekarnie,kwiaciarnie,zakłady fotograficzne,uniwersytety,ochotnicze hufce pracy,zakłady opieki zdrowotnej,gabinety dentystyczne,,,,,,,,,,,,,,,,,,
poniedziałki,parzyste poniedziałki,wtorki,nieparzyste wtorki,środy,czwartki,dni robocze,weekendy,piątki,piątki w roku przestępnym,owocowe czwartki,soboty,niedziele,niedziele handlowe,niedziele niehandlowe,coponiektóre wtorki,wtorki ale tylko te które są w pierwszej połowie miesiąca,,,,,,,,
dyskretnie otwarte,otwarte,zamknięte,otwarte w dni tygodnia,otwarte w weekendy,czasem otwarte,,,,,,,,,,,,,,,,,,,
otwierania okien,zamykania okien,palenia kadzidełek,uśmiechania się grzecznie,jedzenia zupy widelcem,nie używania słodkiej papryki oraz kurkumy,mycia zębów przez kelnerów,koniecznym,ściągania butów przed jedzeniem,że każdy będzie miał czerwoną pelerynkę,zachowania szczególnej ostrożności przy jedzeniu,nie kładzenia łokci na stole,oddzielania się przepierzeniem od innych gości ,,,,,,,,,,,,
1-2 oraz 4-7,1-6,2-6,1-3,5-4,5-6,4-9,,,,,,,,,,,,,,,,,,
w szkołach średnich,w technikach,w liceach,w szkołach położonych na wschód od Wisły,w szkółkach niedzielnych,w liceach profilowanych,w technikach elektronicznych,,w technikach mechanizacji rolnictwa,w szkołach mundurowych,,,,,,,,,,,,,,,
w szkołach wyższych,na Uniwersytecie kardynała Stefana Wyszyńskiego,na Uniwersytecie Zielonogórskim,na Państwowej Wyższej Szkole Zawodowej w Chełmie,na Uniwersytecie Medycznym w Koszalinie (tylko kierunki pielęgniarstwo oraz fizjoterapia),na uczelniach technicznych (za wyjątkiem AGH),na akademiach,na akademiach muzycznych,na SGGW,na Wojskowej Akademii Technicznej,na uniwersytetach medycznych,na uniwersytetach,w Wyższej Szkole Lansu i Bansu im. Ewy Chodakowskiej,,,,,,,,,,,,
AGH,UW,PW,SGGW,UJ,UAM,PK,UWr,PWr,WAT,,,,,,,,,,,,,,,
studenci będą nosić jednorazowe buty,studenci nie będą zdejmować kurtek podczas zajęć,studenci będą nosić maski N95,studenci zostaną zaszczepieni na ospę prawdziwą,studenci będą oddychać przez nos,chcą inaczej,prezes zmieni zdanie,coś,nie,czegoś zapomniałem,,,,,,,,,,,,,,,
zamknięte, ale mają otwarte okna,otwarte, ale mają zamknięte okna,otwarte dla dziewczynek,otwarte dla chłopców,otwarte w godzinach 10-12,otwarte w godzinach 22-6,,,,,,,,,,,,,,,,,,,
kościołach,sklepach spożywczych,cegielniach,drogeriach,domach,przestrzeniach współdzielonych,magazynach,muzeach,Pałacu Kultury,studiu Dzień Dobry TVN,,,,,,,,,,,,,,,
galeriach handlowych,sklepach budowlanych,cukierniach,pasmanteriach,domach jednorodzinnych,komórkach lokatorskich,teatrach,przejściach podziemnych,bazylice w Licheniu,sklepach z odzieżą używaną,drogeriach,,,,,,,,,,,,,,
1,2,13,155,541,12,23,89,54,12,31,74,6,5,79,18,87,10,12,18,21,664,420,2137,70000000
wieczornch,modlitewnych,porannych,nocnych,12-12:30,15:00-15:30,nie zbyt późnych,dowolnych,dowolnych ale nie o 16,ciszy nocnej,zadumy,,,,,,,,,,,,,,
młodsze,piękne,brzydkie,którym wali z japy,w wieku rozpłodowym,które tego potrzebują,które naprawde tego chcą,które robią zakupy,członkowie pariti politycznych zaczynających się na P,najbliższe,niezdolne do czynnej służby wojskowej,lub zwierzęta,boskie (3),z płaskostopiem,,,,,,,,,,,
część,6 albo 7,nie zadużo,osiem,100,1000,70000000,,,,,,,,,,,,,,,,,,
2,pięć,120%,5%,pół tuzina,tuzin,część,,,,,,,,,,,,,,,,,,
