dansingów	dyskotek	uciech grupowych	wesel	pogrzebów	turniejów brydża	palenia sziszy	osuszania bagien	kongresów założycielskich partii politycznych	koncertów Maryli Rodowicz	memoriału Huberta Wagnera	koncertów MTV Unplugged	libacji na skwerku	imienin	nagrywek	szczytu NATO	seansów spirytystycznych	Familiady	zawodów w sprincie na 100 m	przyklejania się do elementów infrastruktury	kręcenia reklam Apartu	odbierania przysięgi Hipokratesa od studentów ostatnich lat kierunków medycznych	uroczystych ratyfikacji umów i traktatów międzynarodowych	improwizowanych spektakli komediowych	kursów radiooperatora SRC	koncertów zespołu Sabaton	Światowych Dni Młodzieży	melanży					
wyścigów konnych	turniejów ping-ponga	regat	wystaw psów rasowych	wystaw psów nierasowych	składania przysięgi wojskowej przez żołnierzy Wojsk Obrony Terytorialnej	tańców rytualnych	obrzędów zielonoświątkowych	procesji na Boże Ciało	koncertów kolęd i pastorałek	rajdów samochodowych	spożywania alkoholu na Bulwarach Wiślanych	urodzin	protestów rolników	lekcji gry na flecie	seminarium Politechnika na Fali	teleturnieju "Jeden z dziesięciu"	potańcówek	Warszawskiego Festiwalu Piwa	przeszukań kancelarii prawniczych	prób chórów	imprez studenckich	wręczania odznaczeń i orderów państwowych	zbiorowego picia yerba mate	urodzin browaru Artezan w Błoniu	opowiadania historii przed Planem B	wyścigów gokartowych	juwenaliów					
restauracje	bary	domy publiczne	puby	księgarnie	miejsca spotkań mniejszości narodowych	kluby	niektóre kluby	centra krwiodawstwa	winnice	miejsca spotkań burżuazji	sklepy z gadżetami erotycznymi	sklepy RTV i AGD	stacje benzynowe	domy kultury	cmentarze	kluby fitness	kręgielnie	remizy strażackie	przytułki dla bezdomnych	kopalnie kryptowalut	kancelarie doradztwa podatkowego	wyciągi narciarskie	ogrody działkowe	drukarnie wielkoformatowe	chillout roomy	izby wytrzeźwień						
warsztaty wulkanizacji opon	baseny głębinowe	warsztaty stolarskie	warsztaty włókiennicze	magazyny	miejsca spotkań większości narodowych	kościoły	sobory prawosławne	sale królestwa Świadków Jehowy	butiki	sejmiki wojewódzkie	wypożyczalnie DVD	pizzerie	zakłady przetwórstwa mięsnego	pomniki przyrody	strzelnice	siłownie	fabryki pojazdów szynowych	mieszkania na Airbnb	wieżowce	pralnie	kliniki weterynaryjne	miejsca warte odwiedzenia wg. czasopisma National Geographic	przedsiębiorstwa agroturystyczne	agencje reklamowe	strefy VR	izby parlamentu						
baseny przydomowe	sklepy wielkopowierzchniowe	sklepy średniopowierzchniowe	centra wystawiennicze	lądowiska dronów	domy seniora	synagogi	meczety	świątynie wierzeń słowiańskich	sklepy z biżuterią tradycyjną	przedsiębiorstwa usług komunalnych	Media-Markty	kawiarnie	masarnie	alejki parkowe węższe niż 2m	baseny otwarte	baseny zamknięte	fabryki akumulatorów litowo-jonowych	hostele	magazyny chłodnicze	kasyna	duszpasterstwa akademickie	przedsiębiorstwa, które przebranżowiły się na muzea	domki fińskie na Jazdowie	agencje towarzyskie	baseny termalne	sklepy z dewocjonaliami						
cukiernie	bazarki	zakłady pogrzebowe	zakłady krawieckie	pasmanterie	drogerie	sklepy spożywcze	szkoły językowe	urzędy	biurowce	smażalnie ryb	szkoły nauki jazdy	sklepy Lewiatan	redakcje dzienników lokalnych	domy uciech	domy weselne	cytadele	bunkry	ogrody botaniczne	giełdy papierów wartościowych	monastery	pola paintballowe	świetlice szkolne	place rynkowe	smażalnie pączków i faworków	sauny fińskie	Castoramy						
piekarnie	kwiaciarnie	zakłady fotograficzne	uniwersytety	ochotnicze hufce pracy	zakłady opieki zdrowotnej	gabinety dentystyczne	warsztaty lutnicze	stadniny	biura poselskie	czartery jachtów	stanice GOPR	gabinety fizjoterapeutów	kancelarie prawne	klubokawiarnie	sklepy GS	budowle obronne	arboreta	ogrody zoologiczne	kantory	bazyliki	hackerspace'y	lasy wojewódzkie	ekomariny	serwerownie	łaźnie rzymskie							
poniedziałki	parzyste poniedziałki	wtorki	nieparzyste wtorki	środy	czwartki	dni robocze	weekendy	piątki	piątki w roku przestępnym	owocowe czwartki	soboty	niedziele	niedziele handlowe	niedziele niehandlowe	niektóre wtorki	tym miesiącu	niedziele i święta	dni powszednie	tygodniu poprzedzającym Święta Bożego Narodzenia													
otwarte	zamknięte	otwarte w dni robocze	otwarte w weekendy	czasem otwarte	czynne	dopuszczone do sprzedaży na wynos	otwarte w godzinach 8:00-22:00	zamknięte w porze nocnej	otwarte dla klientów biznesowych	otwarte w porze lunchowej	otwarte dla seniorów	otwarte dla juniorów	zamknięte dla niepełnoletnich bez opieki dorosłego																			
otwierania okien	zamykania okien	palenia kadzidełek odkażających	uśmiechania się grzecznie	jedzenia nożem i widelcem	nieużywania ostrych przypraw	noszenia masek N95 przez kelnerów	ściągania butów przed jedzeniem	jedzenia w rękawiczkach	niekładzenia łokci na stole	zachowania szczególnej ostrożności przy jedzeniu	oddzielania się przepierzeniem od innych gości	wystawiania paragonów	przeżuwania powoli	gotowania na małym ogniu	nierozglądania się naokoło	sporządzania listy odwiedzających	ograniczenia miejsc przy stolikach o połowę	niewznoszenia toastów	że posiadają gwiazdkę Michelin	że odbyły się tam Kuchenne Rewolucje	odbywania regularnych kontroli Sanepidu	że serwują piwo z browaru Ziemia Obiecana										
<autogenerowane>																																
w szkołach średnich	w technikach	w liceach	w szkołach położonych na wschód od Wisły	w szkółkach niedzielnych	w liceach profilowanych	w technikach elektronicznych	w technikach gastronomicznych	w technikach mechanizacji rolnictwa	w szkołach mundurowych	w szkołach zawodowych	w szkołach przysposabiających do pracy	w szkołach specjalnych	w zespołach szkół	w szkołach muzycznych pierwszego stopnia																		
w szkołach wyższych	na uczelniach wojskowych	na uczelniach dentystycznych	w szkołach policealnych	na prywatnych kursach	na prywatnych kursach przygotowujących do zatrudnienia w niektórych zawodach	w akademiach	w akademiach muzycznych	na SGGW	w Wojskowej Akademii Technicznej	na uniwersytetach medycznych	na uniwersytetach	na uczelniach leśniczych	w akademii morskiej	na bootcampach programistycznych																		
niektórych uczelni	uczelni położonych w miastach wojewódzkich	uczelni prywatnych	uczelni o kategorii naukowej A+	uczelni katolickich	Akademii Pana Kleksa	Uniwersytetu Morskiego w Śledziowie	20 najlepszych uczelni wg. rankingu "Perspektywy"	uczelni państwowych	uczelni biorących udział w programie Erasmus	uczelni starszych niż 50 lat	uczelni akredytowanych	uniwersytetów korzystających z dofinansowania unijnego	kierunków humanistycznych	kierunków technicznych	Austriackiej Szkoły Ekonomii																	
studenci będą nosić jednorazowe nakładki na buty	studenci nie będą zdejmować kurtek podczas zajęć	studenci będą nosić maski N95	studenci zostaną zaszczepieni na grypę	studenci będą oddychać przez nos	rektor stwierdzi inaczej	kolegium dziekanów podejmie inną decyzję	samorząd studentów złoży odpowiedni wniosek	pracownicy naukowi zaszczepieni są poza kolejnością	uczelnia produkuje przyłbice za pomocą drukarek 3D	zachodzą okoliczności łagodzące	studenci są studentami prawa	prowadzenie zajęć w ten sposób jest niemożliwe																				
zamknięte, ale mają otwarte okna	otwarte, ale mają zamknięte okna	otwarte dla dziewczynek	otwarte dla chłopców	otwarte w godzinach 10:00-12:00	otwarte w godzinach 22:00-6:00	otwarte w godzinach 8:00-16:00	zamknięte w godzinach 8:00-16:00	otwarte w godzinach pracy urzędów	zamknięte do odwołania	otwarte samoobsługowo	otwarte całodobowo	otwarte dla najmłodszych	otwarte dla drugiego i każdego kolejnego dziecka																			
kościołach	sklepach spożywczych	cegielniach	drogeriach	domach	przestrzeniach współdzielonych	magazynach	muzeach	studiach telewizji śniadaniowych	studiu Dzień Dobry TVN	świątyniach	salach koncertowych	kioskach	budynkach użyteczności publicznej	blokach operacyjnych szpitali węzłowych	budkach dróżników kolejowych	przedszkolach	pałacach magnaterii	salach wykładowych	budynkach państwowych instytutów badawczych	schroniskach PTTK	piwnicach											
galeriach handlowych	sklepach budowlanych	cukierniach	pasmanteriach	domach jednorodzinnych	komórkach lokatorskich	teatrach	przejściach podziemnych	drogeriach	niektórych sklepach	budynkach dworców kolejowych	sklepach mięsnych	siłowniach	pomieszczeniach bez okien	koszarach wojskowych	wieżach kontroli lotów	szkołach	laboratoriach	sklepach dla deskorolkarzy	leśniczówkach	rowerowniach												
8	15	6	20	30	40	50	10	12	16	30	25	2	3																			
wieczornych	porannych	8:00-10:00	10:00-12:00	12:00-12:30	15:00-15:30	ciszy nocnej	21:00-7:00	lunchowych	6:00-9:00	0:00-6:00	szczytu	16:00-20:00	17:30-22:00	7:30-9:30																		
starsze niż 65 lat	starsze niż 60 lat	starsze niż 55 lat	starsze niż 70 lat	młodsze niż 70 lat	urodzone w parzyste dni tygodnia	urodzone w nieparzyste dni tygodnia	mieszkające na wsi	zameldowane na pobyt stały w dzielnicy, w której znajduje się sklep	poruszające się na wózku inwalidzkim	chore na choroby przewlekłe	przyjmujące środki przeciwbólowe	utrzymujące się z zasiłku	z heterochromią oczu	posiadające aplikację ProteGO Safe																		
<autogenerowane>																																
<autogenerowane>																																
